[18:57:50] Blueprint Dumper starting... output: C:\Users\whunt\AppData\Local\Owlcat Games\Warhammer 40000 Rogue Trader\BlueprintDumps\2026-01-18-185750-manual
[18:57:50] Loaded DLL: C:\Users\whunt\AppData\LocalLow\Owlcat Games\Warhammer 40000 Rogue Trader\UnityModManager\BlueprintDumper\BlueprintDumper.dll.63817.cache (LastWriteUtc: 2026-01-19 02:57:04Z)
[18:57:50] Attempting to load all blueprints from database...
[18:57:50] Attempting to access blueprint database for complete enumeration...
[18:57:50] Retrieved 157016 GUIDs from Pack File.
[18:58:37] Loaded 73208/157016 unique blueprints (2 failed)
[18:58:37] Loaded 74208/157016 unique blueprints (2 failed)
[18:58:38] Loaded 75208/157016 unique blueprints (2 failed)
[18:58:39] Loaded 76208/157016 unique blueprints (2 failed)
[18:58:39] Loaded 77208/157016 unique blueprints (2 failed)
[18:58:40] Loaded 78208/157016 unique blueprints (2 failed)
[18:58:40] Loaded 79208/157016 unique blueprints (2 failed)
[18:58:41] Loaded 80208/157016 unique blueprints (2 failed)
[18:58:41] Loaded 81208/157016 unique blueprints (2 failed)
[18:58:42] Loaded 82208/157016 unique blueprints (2 failed)
[18:58:43] Loaded 83208/157016 unique blueprints (2 failed)
[18:58:43] Loaded 84208/157016 unique blueprints (2 failed)
[18:58:44] Loaded 85186/157016 unique blueprints (2 failed)
[18:58:44] Loaded 86149/157016 unique blueprints (2 failed)
[18:58:45] Loaded 87133/157016 unique blueprints (2 failed)
[18:58:46] Loaded 88111/157016 unique blueprints (2 failed)
[18:58:46] Loaded 89072/157016 unique blueprints (2 failed)
[18:58:47] Loaded 90066/157016 unique blueprints (2 failed)
[18:58:47] Loaded 91023/157016 unique blueprints (2 failed)
[18:58:48] Loaded 91876/157016 unique blueprints (2 failed)
[18:58:48] Loaded 92600/157016 unique blueprints (2 failed)
[18:58:49] Loaded 93588/157016 unique blueprints (2 failed)
[18:58:50] Loaded 94587/157016 unique blueprints (2 failed)
[18:58:50] Loaded 95585/157016 unique blueprints (2 failed)
[18:58:51] Loaded 96583/157016 unique blueprints (2 failed)
[18:58:52] Loaded 97579/157016 unique blueprints (2 failed)
[18:58:52] Loaded 98579/157016 unique blueprints (2 failed)
[18:58:53] Loaded 99556/157016 unique blueprints (2 failed)
[18:58:54] Loaded 100556/157016 unique blueprints (2 failed)
[18:58:54] Loaded 101554/157016 unique blueprints (2 failed)
[18:58:55] Loaded 102553/157016 unique blueprints (2 failed)
[18:58:55] Loaded 103552/157016 unique blueprints (2 failed)
[18:58:56] Loaded 104540/157016 unique blueprints (2 failed)
[18:58:57] Loaded 105533/157016 unique blueprints (2 failed)
[18:58:57] Loaded 106532/157016 unique blueprints (2 failed)
[18:58:58] Loaded 107530/157016 unique blueprints (2 failed)
[18:58:59] Loaded 108522/157016 unique blueprints (2 failed)
[18:58:59] Loaded 109389/157016 unique blueprints (2 failed)
[18:59:00] Loaded 110354/157016 unique blueprints (2 failed)
[18:59:01] Loaded 111349/157016 unique blueprints (2 failed)
[18:59:01] Loaded 112323/157016 unique blueprints (2 failed)
[18:59:02] Loaded 113323/157016 unique blueprints (2 failed)
[18:59:03] Loaded 114317/157016 unique blueprints (2 failed)
[18:59:03] Loaded 115313/157016 unique blueprints (2 failed)
[18:59:04] Loaded 116311/157016 unique blueprints (2 failed)
[18:59:04] Loaded 117306/157016 unique blueprints (2 failed)
[18:59:05] Loaded 118306/157016 unique blueprints (2 failed)
[18:59:06] Loaded 119305/157016 unique blueprints (2 failed)
[18:59:06] Loaded 120304/157016 unique blueprints (2 failed)
[18:59:07] Loaded 121304/157016 unique blueprints (2 failed)
[18:59:08] Loaded 122304/157016 unique blueprints (2 failed)
[18:59:08] Loaded 123304/157016 unique blueprints (2 failed)
[18:59:09] Loaded 124304/157016 unique blueprints (2 failed)
[18:59:09] Loaded 125304/157016 unique blueprints (2 failed)
[18:59:10] Loaded 126304/157016 unique blueprints (2 failed)
[18:59:11] Loaded 127304/157016 unique blueprints (2 failed)
[18:59:11] Loaded 128304/157016 unique blueprints (2 failed)
[18:59:12] Loaded 129304/157016 unique blueprints (2 failed)
[18:59:13] Loaded 130304/157016 unique blueprints (2 failed)
[18:59:13] Loaded 131304/157016 unique blueprints (2 failed)
[18:59:14] Loaded 132296/157016 unique blueprints (2 failed)
[18:59:14] Loaded 133294/157016 unique blueprints (2 failed)
[18:59:15] Loaded 133944/157016 unique blueprints (2 failed)
[18:59:16] Loaded 134777/157016 unique blueprints (2 failed)
[18:59:16] Loaded 135753/157016 unique blueprints (2 failed)
[18:59:17] Loaded 136753/157016 unique blueprints (2 failed)
[18:59:18] Loaded 137740/157016 unique blueprints (2 failed)
[18:59:18] Loaded 138730/157016 unique blueprints (2 failed)
[18:59:19] Loaded 139699/157016 unique blueprints (2 failed)
[18:59:19] Loaded 140698/157016 unique blueprints (2 failed)
[18:59:20] Loaded 141695/157016 unique blueprints (2 failed)
[18:59:21] Loaded 142691/157016 unique blueprints (2 failed)
[18:59:21] Loaded 143648/157016 unique blueprints (2 failed)
[18:59:22] Loaded 144645/157016 unique blueprints (2 failed)
[18:59:23] Loaded 145645/157016 unique blueprints (2 failed)
[18:59:23] Loaded 146434/157016 unique blueprints (2 failed)
[18:59:24] Loaded 147255/157016 unique blueprints (2 failed)
[18:59:24] Loaded 148255/157016 unique blueprints (2 failed)
[18:59:25] Loaded 149250/157016 unique blueprints (2 failed)
[18:59:26] Loaded 150250/157016 unique blueprints (2 failed)
[18:59:26] Loaded 151250/157016 unique blueprints (2 failed)
[18:59:27] Loaded 152250/157016 unique blueprints (2 failed)
[18:59:28] Loaded 153250/157016 unique blueprints (2 failed)
[18:59:28] Loaded 154248/157016 unique blueprints (2 failed)
[18:59:29] Loaded 155248/157016 unique blueprints (2 failed)
[18:59:29] Loaded 156179/157016 unique blueprints (2 failed)
[18:59:30] Loaded 157014/157016 unique blueprints (2 failed)
[18:59:30] Force-loading complete: 157014 total unique blueprints, 152059 loaded by GUID, 2 failed
[18:59:30] Total blueprints discovered: 157014 (using database approach)
[18:59:30] Success: All blueprints loaded from database (including future acts)!
[18:59:30] Database report: GuidSource=PackFile, TotalGuids=157016, DirectBlueprints=4955, LoadedByGuid=152059, FailedByGuid=2
[18:59:30] Wrote database_report.json
[18:59:31] [DIAGNOSTIC] Found 10 blueprints with 'Double' in name:
[18:59:31]   - Double Wall (Type: BlueprintShipPostExpertise, Namespace: Kingmaker.SpaceCombat.Blueprints)
[18:59:31]   - On the Double (Type: BlueprintFeature, Namespace: Kingmaker.UnitLogic.Progression.Features)
[18:59:31]   - Double-Edged Strike (Type: BlueprintAbility, Namespace: Kingmaker.UnitLogic.Abilities.Blueprints)
[18:59:31]   - Double-Barreled Shotgun (Type: BlueprintBuff, Namespace: Kingmaker.UnitLogic.Buffs.Blueprints)
[18:59:31]   - Double-Barreled Shotgun (Type: BlueprintItemWeapon, Namespace: Kingmaker.Blueprints.Items.Weapons)
[18:59:31]   - Double Slug (Type: BlueprintAbility, Namespace: Kingmaker.UnitLogic.Abilities.Blueprints)
[18:59:31]   - Double Slug (Type: BlueprintFeature, Namespace: Kingmaker.UnitLogic.Progression.Features)
[18:59:31]   - Double Torpedo Tubes (Type: BlueprintStarshipWeapon, Namespace: Warhammer.SpaceCombat.Blueprints)
[18:59:31]   - DoubleKill (Type: Cutscene, Namespace: Kingmaker.AreaLogic.Cutscenes)
[18:59:31]   - Dark Prowess: Double Tap (Type: BlueprintBuff, Namespace: Kingmaker.UnitLogic.Buffs.Blueprints)
[18:59:31] [DIAGNOSTIC] Found 24 blueprints with 'Shotgun' in name:
[18:59:31]   - Rending Shotgun (Type: BlueprintAbility, Namespace: Kingmaker.UnitLogic.Abilities.Blueprints)
[18:59:31]   - Combat Shotgun (Type: BlueprintItemWeapon, Namespace: Kingmaker.Blueprints.Items.Weapons)
[18:59:31]   - Shotgun (Type: BlueprintItemWeapon, Namespace: Kingmaker.Blueprints.Items.Weapons)
[18:59:31]   - Shredder Shotgun (Type: BlueprintItemWeapon, Namespace: Kingmaker.Blueprints.Items.Weapons)
[18:59:31]   - [Drusus Prime Pattern] Shotgun (Type: BlueprintItemWeapon, Namespace: Kingmaker.Blueprints.Items.Weapons)
[18:59:31]   - Nullifying Shotgun (Type: BlueprintItemWeapon, Namespace: Kingmaker.Blueprints.Items.Weapons)
[18:59:31]   - Sturdy Shotgun (Type: BlueprintItemWeapon, Namespace: Kingmaker.Blueprints.Items.Weapons)
[18:59:31]   - Rending Shotgun (Type: BlueprintAbility, Namespace: Kingmaker.UnitLogic.Abilities.Blueprints)
[18:59:31]   - [Mars-Pattern] Combat Shotgun (Type: BlueprintItemWeapon, Namespace: Kingmaker.Blueprints.Items.Weapons)
[18:59:31]   - Advanced Adeptus Arbites Shotgun (Type: BlueprintItemWeapon, Namespace: Kingmaker.Blueprints.Items.Weapons)
[18:59:32] [DIAGNOSTIC] Found 2 blueprints with 'Double-Barrel' in name:
[18:59:32]   - Double-Barreled Shotgun (Type: BlueprintBuff, Namespace: Kingmaker.UnitLogic.Buffs.Blueprints)
[18:59:32]   - Double-Barreled Shotgun (Type: BlueprintItemWeapon, Namespace: Kingmaker.Blueprints.Items.Weapons)
[18:59:32] [DIAGNOSTIC] No 'DoubleBarrel' blueprints found in the 157014 loaded blueprints
[18:59:33] [DIAGNOSTIC] Found 28 blueprints with 'Astartes' in name:
[18:59:33]   - Adeptus Astartes (Type: BlueprintFeature, Namespace: Kingmaker.UnitLogic.Progression.Features)
[18:59:33]   - Adeptus Astartes Equipment (Type: BlueprintFeature, Namespace: Kingmaker.UnitLogic.Progression.Features)
[18:59:33]   - Adeptus Astartes Equipment (Type: BlueprintFeature, Namespace: Kingmaker.UnitLogic.Progression.Features)
[18:59:33]   - Astartes Bolter (Type: BlueprintItemWeapon, Namespace: Kingmaker.Blueprints.Items.Weapons)
[18:59:33]   - Astartes Power Boots (Type: BlueprintFeature, Namespace: Kingmaker.UnitLogic.Progression.Features)
[18:59:33]   - Astartes Power Boots (Type: BlueprintItemEquipmentFeet, Namespace: Kingmaker.Blueprints.Items.Equipment)
[18:59:33]   - Astartes Power Gloves (Type: BlueprintFeature, Namespace: Kingmaker.UnitLogic.Progression.Features)
[18:59:33]   - Astartes Power Gloves (Type: BlueprintItemEquipmentGloves, Namespace: Kingmaker.Blueprints.Items.Equipment)
[18:59:33]   - Adeptus Astartes Equipment (Type: BlueprintFeature, Namespace: Kingmaker.UnitLogic.Progression.Features)
[18:59:33]   - Astartes Chainsword (Type: BlueprintItemWeapon, Namespace: Kingmaker.Blueprints.Items.Weapons)
[18:59:34] [DIAGNOSTIC] Found 103 blueprints with 'Pistol' in name:
[18:59:34]   - Pistol Burst (Type: BlueprintAbility, Namespace: Kingmaker.UnitLogic.Abilities.Blueprints)
[18:59:34]   - Pistol Shot (Type: BlueprintAbility, Namespace: Kingmaker.UnitLogic.Abilities.Blueprints)
[18:59:34]   - [Retobi-Pattern] Autopistol (Type: BlueprintItemWeapon, Namespace: Kingmaker.Blueprints.Items.Weapons)
[18:59:34]   - Autopistol (Type: BlueprintItemWeapon, Namespace: Kingmaker.Blueprints.Items.Weapons)
[18:59:34]   - Blast Pistol (Type: BlueprintItemWeapon, Namespace: Kingmaker.Blueprints.Items.Weapons)
[18:59:34]   - [Mezoa-Pattern] Bolt Pistol (Type: BlueprintItemWeapon, Namespace: Kingmaker.Blueprints.Items.Weapons)
[18:59:34]   - Bolt Pistol (Type: BlueprintItemWeapon, Namespace: Kingmaker.Blueprints.Items.Weapons)
[18:59:34]   - Hot Shot Laspistol (Type: BlueprintItemWeapon, Namespace: Kingmaker.Blueprints.Items.Weapons)
[18:59:34]   - Laspistol (Type: BlueprintItemWeapon, Namespace: Kingmaker.Blueprints.Items.Weapons)
[18:59:34]   - Needle Pistol (Type: BlueprintItemWeapon, Namespace: Kingmaker.Blueprints.Items.Weapons)
[18:59:34] [DIAGNOSTIC] Found 7 blueprints with 'Stalwart' in name:
[18:59:34]   - Stalwart Boots (Type: BlueprintFeature, Namespace: Kingmaker.UnitLogic.Progression.Features)
[18:59:34]   - Stalwart Boots (Type: BlueprintItemEquipmentFeet, Namespace: Kingmaker.Blueprints.Items.Equipment)
[18:59:34]   - Stalwart Defence (Type: BlueprintAbility, Namespace: Kingmaker.UnitLogic.Abilities.Blueprints)
[18:59:34]   - Stalwart Warrior (Type: BlueprintFeature, Namespace: Kingmaker.UnitLogic.Progression.Features)
[18:59:34]   - Stalwart Sentinel (Type: BlueprintFeature, Namespace: Kingmaker.UnitLogic.Progression.Features)
[18:59:34]   - Stalwart Sentinel (Type: BlueprintFeature, Namespace: Kingmaker.UnitLogic.Progression.Features)
[18:59:34]   - Triumph of the Stalwart (Type: BlueprintItemWeapon, Namespace: Kingmaker.Blueprints.Items.Weapons)
[18:59:35] [DIAGNOSTIC] Found 22 blueprints with 'Triumph' in name:
[18:59:35]   - Moment of Triumph (Type: BlueprintFeature, Namespace: Kingmaker.UnitLogic.Progression.Features)
[18:59:35]   - Triumph of Retribution (Type: BlueprintItemWeapon, Namespace: Kingmaker.Blueprints.Items.Weapons)
[18:59:35]   - Triumph of Justice (Type: BlueprintBuff, Namespace: Kingmaker.UnitLogic.Buffs.Blueprints)
[18:59:35]   - Triumph of Faith (Type: BlueprintItemWeapon, Namespace: Kingmaker.Blueprints.Items.Weapons)
[18:59:35]   - Triumph Over Flesh (Type: BlueprintBuff, Namespace: Kingmaker.UnitLogic.Buffs.Blueprints)
[18:59:35]   - Triumph Over Flesh (Type: BlueprintFeature, Namespace: Kingmaker.UnitLogic.Progression.Features)
[18:59:35]   - Triumph Over Flesh (Type: BlueprintFeature, Namespace: Kingmaker.UnitLogic.Progression.Features)
[18:59:35]   - Triumph of Flesh (Type: BlueprintFeature, Namespace: Kingmaker.UnitLogic.Progression.Features)
[18:59:35]   - Triumph of Flesh (Type: BlueprintBuff, Namespace: Kingmaker.UnitLogic.Buffs.Blueprints)
[18:59:35]   - Triumph of Flesh (Type: BlueprintFeature, Namespace: Kingmaker.UnitLogic.Progression.Features)
[18:59:35] [DIAGNOSTIC] Found 2 blueprints with 'Implacable' in name:
[18:59:35]   - Implacable Tempest (Type: BlueprintFeature, Namespace: Kingmaker.UnitLogic.Progression.Features)
[18:59:35]   - Implacable Tempest (Type: BlueprintItemWeapon, Namespace: Kingmaker.Blueprints.Items.Weapons)
[18:59:36] [DIAGNOSTIC] Found 13 blueprints with 'Tempest' in name:
[18:59:36]   - [Fortress World Origin] Tempestus Carapace (Type: BlueprintItemArmor, Namespace: Kingmaker.Blueprints.Items.Armors)
[18:59:36]   - Tempestus Carapace Elite Backpack (Type: BlueprintFeature, Namespace: Kingmaker.UnitLogic.Progression.Features)
[18:59:36]   - Tempestus Carapace Elite Backpack (Type: BlueprintItemEquipmentShoulders, Namespace: Kingmaker.Blueprints.Items.Equipment)
[18:59:36]   - Reinforced Tempestus Carapace (Type: BlueprintItemArmor, Namespace: Kingmaker.Blueprints.Items.Armors)
[18:59:36]   - [War World Origin] Tempestus Elite Carapace (Type: BlueprintFeature, Namespace: Kingmaker.UnitLogic.Progression.Features)
[18:59:36]   - [War World Origin] Tempestus Elite Carapace (Type: BlueprintItemArmor, Namespace: Kingmaker.Blueprints.Items.Armors)
[18:59:36]   - Tempestus Carapace (Type: BlueprintItemArmor, Namespace: Kingmaker.Blueprints.Items.Armors)
[18:59:36]   - Crucible-Born Tempest (Type: BlueprintStarshipAmmo, Namespace: Warhammer.SpaceCombat.Blueprints)
[18:59:36]   - Crucible-Born Tempest (Type: BlueprintAbility, Namespace: Kingmaker.UnitLogic.Abilities.Blueprints)
[18:59:36]   - Crucible-Born Tempest (Type: BlueprintStarshipWeapon, Namespace: Warhammer.SpaceCombat.Blueprints)
[18:59:36] [DIAGNOSTIC] Found 39 blueprints with 'Bolt' in name:
[18:59:36]   - Modified Bolter (Type: BlueprintItemWeapon, Namespace: Kingmaker.Blueprints.Items.Weapons)
[18:59:36]   - Bolter (Type: BlueprintItemWeapon, Namespace: Kingmaker.Blueprints.Items.Weapons)
[18:59:36]   - [Mezoa-Pattern] Bolt Pistol (Type: BlueprintItemWeapon, Namespace: Kingmaker.Blueprints.Items.Weapons)
[18:59:36]   - Bolt Pistol (Type: BlueprintItemWeapon, Namespace: Kingmaker.Blueprints.Items.Weapons)
[18:59:36]   - Heavy Bolter (Type: BlueprintItemWeapon, Namespace: Kingmaker.Blueprints.Items.Weapons)
[18:59:36]   - Storm Bolter (Type: BlueprintItemWeapon, Namespace: Kingmaker.Blueprints.Items.Weapons)
[18:59:36]   - Bolter Weapon Proficiency (Type: BlueprintFeature, Namespace: Kingmaker.UnitLogic.Progression.Features)
[18:59:36]   - Magazines of Purified Bolts (Type: BlueprintItem, Namespace: Kingmaker.Blueprints.Items)
[18:59:36]   - [Retobi-Pattern] Bolter (Type: BlueprintItemWeapon, Namespace: Kingmaker.Blueprints.Items.Weapons)
[18:59:36]   - Precise Bolter (Type: BlueprintItemWeapon, Namespace: Kingmaker.Blueprints.Items.Weapons)
[18:59:36] [DIAGNOSTIC] NOTE: m_LoadedBlueprints only has 157014 blueprints loaded by your save.
[18:59:36] [DIAGNOSTIC] Late-game items not encountered yet won't be in this collection.
[18:59:36] [DIAGNOSTIC] Need to read m_PackFile to enumerate ALL blueprint GUIDs from pack file.
[18:59:37] Item-like blueprints to dump: 3243
[18:59:37] [DIAGNOSTIC] Term 'Double': inAll=10, inTargets=2
[18:59:38] [DIAGNOSTIC] Term 'Shotgun': inAll=24, inTargets=19
[18:59:39] [DIAGNOSTIC] Term 'Astartes': inAll=28, inTargets=19
[18:59:39] [DIAGNOSTIC] Term 'Pistol': inAll=103, inTargets=92
[18:59:39] Wrote item diagnostics: item_namespace_histogram.json, item_type_histogram.json, weapon_candidates.json
[18:59:40] Processed 250/3243...
[18:59:40] Processed 500/3243...
[18:59:41] Failed to dump blueprint #628: Could not find a part of the path "C:\Users\whunt\AppData\Local\Owlcat Games\Warhammer 40000 Rogue Trader\BlueprintDumps\2026-01-18-185750-manual\Kingmaker\Blueprints\Items\BlueprintItemNote\Research Notes of Navis Laboratorum Custodian Fortunata Orsellio, Part 12_9693ff86086243899877c835cb52b81d.jbp"
[18:59:41] Failed to dump blueprint #629: Could not find a part of the path "C:\Users\whunt\AppData\Local\Owlcat Games\Warhammer 40000 Rogue Trader\BlueprintDumps\2026-01-18-185750-manual\Kingmaker\Blueprints\Items\BlueprintItemNote\Research Notes of Navis Laboratorum Custodian Fortunata Orsellio, Part 13_ba9e241650ef47c4980f24017b9d7f5d.jbp"
[18:59:41] Failed to dump blueprint #632: Could not find a part of the path "C:\Users\whunt\AppData\Local\Owlcat Games\Warhammer 40000 Rogue Trader\BlueprintDumps\2026-01-18-185750-manual\Kingmaker\Blueprints\Items\BlueprintItemNote\Pontius Cipheus Gelacius, _On the Training of Worthy Servants at the Court of the Navis Nobilite_7f3fe95061f64b1b96ebf9ec614b2bbb.jbp"
[18:59:41] Failed to dump blueprint #637: Could not find a part of the path "C:\Users\whunt\AppData\Local\Owlcat Games\Warhammer 40000 Rogue Trader\BlueprintDumps\2026-01-18-185750-manual\Kingmaker\Blueprints\Items\BlueprintItemNote\Secrets of Gallant Conduct_ How to Express Your Feelings to a Noble Lady_2841782e80bc48b1927677b3a88e392e.jbp"
[18:59:41] Processed 750/3243...
[18:59:42] Processed 1000/3243...
[18:59:42] Processed 1250/3243...
[18:59:43] Processed 1500/3243...
[18:59:44] Processed 1750/3243...
[18:59:44] Processed 2000/3243...
[18:59:45] Failed to dump blueprint #2201: Could not find a part of the path "C:\Users\whunt\AppData\Local\Owlcat Games\Warhammer 40000 Rogue Trader\BlueprintDumps\2026-01-18-185750-manual\Kingmaker\Blueprints\Items\Equipment\BlueprintItemEquipmentRing\Memoirs of a Rogue Trader of House von Valancius_2f86ac3fc26e4fdda239a72f621357e4.jbp"
[18:59:45] Processed 2250/3243...
[18:59:46] Processed 2500/3243...
[18:59:46] Processed 2750/3243...
[18:59:47] Failed to dump blueprint #2858: Could not find a part of the path "C:\Users\whunt\AppData\Local\Owlcat Games\Warhammer 40000 Rogue Trader\BlueprintDumps\2026-01-18-185750-manual\Kingmaker\Blueprints\Items\BlueprintItemNote\A Monograph by Karl Emmanuel Cerubion Dho on the Culture of the Imperium's Far Worlds_22b267588c674957b2efeea6450f007c.jbp"
[18:59:47] Processed 3000/3243...
[18:59:48] Blueprint Dumper completed.
